sensorid;Column5;djup[mˆh];placering;typ;filtrerad
A81758FFFE04CDD8;2021-09-25 03:45;27.981;Ankdammen;NivÂ;FALSE
A81758FFFE04CDD8;2021-09-25 04:00;28.0;Ankdammen;NivÂ;FALSE
A81758FFFE04CDD8;2021-09-25 04:15;27.98;Ankdammen;NivÂ;FALSE
A81758FFFE04CDD8;2021-09-25 04:30;27.988;Ankdammen;NivÂ;FALSE
A81758FFFE04CDD8;2021-09-25 04:45;27.976;Ankdammen;NivÂ;FALSE
A81758FFFE04CDD8;2021-09-25 05:00;27.968;Ankdammen;NivÂ;FALSE
A81758FFFE04CDD8;2021-09-25 05:15;27.961;Ankdammen;NivÂ;FALSE
A81758FFFE04CDD8;2021-09-25 05:30;27.969;Ankdammen;NivÂ;FALSE
A81758FFFE04CDD8;2021-09-25 05:45;27.964;Ankdammen;NivÂ;FALSE
A81758FFFE04CDD8;2021-09-25 06:00;27.955;Ankdammen;NivÂ;FALSE
A81758FFFE04CDD8;2021-09-25 06:15;27.952;Ankdammen;NivÂ;FALSE
A81758FFFE04CDD8;2021-09-25 06:30;27.952;Ankdammen;NivÂ;FALSE
A81758FFFE04CDD8;2021-09-25 06:45;27.946;Ankdammen;NivÂ;FALSE
A81758FFFE04CDD8;2021-09-25 07:00;27.949;Ankdammen;NivÂ;FALSE
A81758FFFE04CDD8;2021-09-25 07:15;27.943;Ankdammen;NivÂ;FALSE
A81758FFFE04CDD8;2021-09-25 07:30;27.954;Ankdammen;NivÂ;FALSE
A81758FFFE04CDD8;2021-09-25 07:45;27.95;Ankdammen;NivÂ;FALSE
A81758FFFE04CDD8;2021-09-25 08:00;27.941;Ankdammen;NivÂ;FALSE
A81758FFFE04CDD8;2021-09-25 08:15;27.953;Ankdammen;NivÂ;FALSE
A81758FFFE04CDD8;2021-09-25 08:30;27.934;Ankdammen;NivÂ;FALSE
A81758FFFE04CDD8;2021-09-25 08:45;27.951;Ankdammen;NivÂ;FALSE
A81758FFFE04CDD8;2021-09-25 09:00;27.934;Ankdammen;NivÂ;FALSE
A81758FFFE04CDD8;2021-09-25 09:15;27.934;Ankdammen;NivÂ;FALSE
A81758FFFE04CDD8;2021-09-25 09:30;27.94;Ankdammen;NivÂ;FALSE
A81758FFFE04CDD8;2021-09-25 09:45;27.942;Ankdammen;NivÂ;FALSE
A81758FFFE04CDD8;2021-09-25 10:00;27.937;Ankdammen;NivÂ;FALSE
A81758FFFE04CDD8;2021-09-25 10:15;27.935;Ankdammen;NivÂ;FALSE
A81758FFFE04CDD8;2021-09-25 10:30;27.934;Ankdammen;NivÂ;FALSE
A81758FFFE04CDD8;2021-09-25 10:45;27.937;Ankdammen;NivÂ;FALSE
A81758FFFE04CDD8;2021-09-25 11:00;27.922;Ankdammen;NivÂ;FALSE
A81758FFFE04CDD8;2021-09-25 11:15;27.92;Ankdammen;NivÂ;FALSE
A81758FFFE04CDD8;2021-09-25 11:30;27.934;Ankdammen;NivÂ;FALSE
A81758FFFE04CDD8;2021-09-25 11:45;27.935;Ankdammen;NivÂ;FALSE
A81758FFFE04CDD8;2021-09-25 12:00;27.935;Ankdammen;NivÂ;FALSE
A81758FFFE04CDD8;2021-09-25 12:15;26.711;Ankdammen;NivÂ;FALSE
A81758FFFE04CDD8;2021-09-25 12:30;27.925;Ankdammen;NivÂ;FALSE
A81758FFFE04CDD8;2021-09-25 12:45;27.932;Ankdammen;NivÂ;FALSE
A81758FFFE04CDD8;2021-09-25 13:00;26.791;Ankdammen;NivÂ;FALSE
A81758FFFE04CDD8;2021-09-25 13:15;27.938;Ankdammen;NivÂ;FALSE
A81758FFFE04CDD8;2021-09-25 13:30;27.934;Ankdammen;NivÂ;FALSE
A81758FFFE04CDD8;2021-09-25 13:45;27.906;Ankdammen;NivÂ;FALSE
A81758FFFE04CDD8;2021-09-25 14:00;27.924;Ankdammen;NivÂ;FALSE
A81758FFFE04CDD8;2021-09-25 14:15;27.93;Ankdammen;NivÂ;FALSE
A81758FFFE04CDD8;2021-09-25 14:30;27.916;Ankdammen;NivÂ;FALSE
A81758FFFE04CDD8;2021-09-25 14:45;27.926;Ankdammen;NivÂ;FALSE
A81758FFFE04CDD8;2021-09-25 15:00;27.937;Ankdammen;NivÂ;FALSE
A81758FFFE04CDD8;2021-09-25 15:15;27.923;Ankdammen;NivÂ;FALSE
A81758FFFE04CDD8;2021-09-25 15:30;27.92;Ankdammen;NivÂ;FALSE
A81758FFFE04CDD8;2021-09-25 15:45;27.926;Ankdammen;NivÂ;FALSE
A81758FFFE04CDD8;2021-09-25 16:00;27.931;Ankdammen;NivÂ;FALSE
A81758FFFE04CDD8;2021-09-25 16:15;27.929;Ankdammen;NivÂ;FALSE
A81758FFFE04CDD8;2021-09-25 16:30;27.922;Ankdammen;NivÂ;FALSE
A81758FFFE04CDD8;2021-09-25 16:45;27.914;Ankdammen;NivÂ;FALSE
A81758FFFE04CDD8;2021-09-25 17:00;27.906;Ankdammen;NivÂ;FALSE
A81758FFFE04CDD8;2021-09-25 17:15;27.917;Ankdammen;NivÂ;FALSE
A81758FFFE04CDD8;2021-09-25 17:30;27.911;Ankdammen;NivÂ;FALSE
A81758FFFE04CDD8;2021-09-25 17:45;27.918;Ankdammen;NivÂ;FALSE
A81758FFFE04CDD8;2021-09-25 18:00;27.92;Ankdammen;NivÂ;FALSE
A81758FFFE04CDD8;2021-09-25 18:15;27.926;Ankdammen;NivÂ;FALSE
A81758FFFE04CDD8;2021-09-25 18:30;27.908;Ankdammen;NivÂ;FALSE
A81758FFFE04CDD8;2021-09-25 18:45;27.923;Ankdammen;NivÂ;FALSE
A81758FFFE04CDD8;2021-09-25 19:00;27.92;Ankdammen;NivÂ;FALSE
A81758FFFE04CDD8;2021-09-25 19:15;27.913;Ankdammen;NivÂ;FALSE
A81758FFFE04CDD8;2021-09-25 19:30;27.909;Ankdammen;NivÂ;FALSE
A81758FFFE04CDD8;2021-09-25 19:45;27.914;Ankdammen;NivÂ;FALSE
A81758FFFE04CDD8;2021-09-25 20:00;27.918;Ankdammen;NivÂ;FALSE
A81758FFFE04CDD8;2021-09-25 20:15;27.906;Ankdammen;NivÂ;FALSE
A81758FFFE04CDD8;2021-09-25 20:30;27.848;Ankdammen;NivÂ;FALSE
A81758FFFE04CDD8;2021-09-25 20:45;27.921;Ankdammen;NivÂ;FALSE
A81758FFFE04CDD8;2021-09-25 21:00;27.921;Ankdammen;NivÂ;FALSE
A81758FFFE04CDD8;2021-09-25 21:15;27.918;Ankdammen;NivÂ;FALSE
A81758FFFE04CDD8;2021-09-25 21:30;27.924;Ankdammen;NivÂ;FALSE
